team,total_matches,wins,draws,losses,goals_for,goals_against,goal_difference,win_rate,points,avg_goals_for,avg_goals_against,first_match,last_match
Arsenal,419,234,88,97,781.0,459.0,322.0,0.5584725536992841,790,1.863961813842482,1.0954653937947494,2014-08-16,2025-08-17
Aston Villa,305,108,62,135,391.0,458.0,-67.0,0.3540983606557377,386,1.2819672131147541,1.501639344262295,2014-08-16,2025-08-16
Bournemouth,305,95,69,141,392.0,518.0,-126.0,0.3114754098360656,354,1.2852459016393443,1.698360655737705,2015-08-08,2025-08-15
Brentford,153,54,38,61,229.0,227.0,2.0,0.35294117647058826,200,1.4967320261437909,1.4836601307189543,2021-08-13,2025-08-17
Brighton,305,94,99,112,384.0,433.0,-49.0,0.3081967213114754,381,1.259016393442623,1.419672131147541,2017-08-12,2025-08-16
Burnley,305,80,79,146,299.0,454.0,-155.0,0.26229508196721313,319,0.980327868852459,1.4885245901639343,2014-08-18,2025-08-16
Cardiff City,38,10,4,24,34.0,69.0,-35.0,0.2631578947368421,34,0.8947368421052632,1.8157894736842106,2018-08-11,2019-05-12
Chelsea,419,219,99,101,724.0,471.0,253.0,0.522673031026253,756,1.727923627684964,1.1241050119331741,2014-08-18,2025-08-17
Crystal Palace,419,132,111,176,502.0,593.0,-91.0,0.315035799522673,507,1.198090692124105,1.4152744630071599,2014-08-16,2025-08-17
Everton,419,141,114,164,517.0,576.0,-59.0,0.33651551312649164,537,1.233890214797136,1.3747016706443913,2014-08-16,2025-08-18
Fulham,191,55,43,93,226.0,303.0,-77.0,0.2879581151832461,208,1.1832460732984293,1.5863874345549738,2018-08-11,2025-08-16
Huddersfield Town,76,12,17,47,50.0,134.0,-84.0,0.15789473684210525,53,0.6578947368421053,1.763157894736842,2017-08-12,2019-05-12
Hull City,76,17,18,41,70.0,131.0,-61.0,0.2236842105263158,69,0.9210526315789473,1.7236842105263157,2014-08-16,2017-05-21
Ipswich,38,4,10,24,36.0,82.0,-46.0,0.10526315789473684,22,0.9473684210526315,2.1578947368421053,2024-08-17,2025-05-25
Leeds United,115,35,26,54,153.0,211.0,-58.0,0.30434782608695654,131,1.3304347826086957,1.8347826086956522,2020-09-12,2025-08-18
Leicester,380,140,84,156,550.0,560.0,-10.0,0.3684210526315789,504,1.4473684210526316,1.4736842105263157,2014-08-16,2025-05-25
Liverpool,419,256,98,65,864.0,432.0,432.0,0.6109785202863962,866,2.0620525059665873,1.0310262529832936,2014-08-17,2025-08-15
Luton,38,6,8,24,52.0,85.0,-33.0,0.15789473684210525,26,1.368421052631579,2.236842105263158,2023-08-12,2024-05-19
Manchester City,419,290,65,64,985.0,372.0,613.0,0.6921241050119332,935,2.350835322195704,0.8878281622911695,2014-08-17,2025-08-16
Manchester United,419,208,103,108,653.0,476.0,177.0,0.4964200477326969,727,1.558472553699284,1.136038186157518,2014-08-16,2025-08-17
Middlesbrough,38,5,13,20,27.0,53.0,-26.0,0.13157894736842105,28,0.7105263157894737,1.394736842105263,2016-08-13,2017-05-21
Newcastle,381,136,93,152,514.0,547.0,-33.0,0.3569553805774278,501,1.3490813648293962,1.4356955380577427,2014-08-17,2025-08-16
Norwich City,114,19,20,75,88.0,226.0,-138.0,0.16666666666666666,77,0.7719298245614035,1.9824561403508771,2015-08-08,2022-05-22
Nottingham Forest,115,38,28,49,148.0,182.0,-34.0,0.33043478260869563,142,1.2869565217391303,1.5826086956521739,2022-08-06,2025-08-17
Queens Park Rangers,38,8,6,24,42.0,73.0,-31.0,0.21052631578947367,30,1.105263157894737,1.9210526315789473,2014-08-16,2015-05-24
Sheffield United,114,24,21,69,94.0,206.0,-112.0,0.21052631578947367,93,0.8245614035087719,1.8070175438596492,2019-08-10,2024-05-19
Southampton,380,108,92,180,439.0,597.0,-158.0,0.28421052631578947,416,1.1552631578947368,1.5710526315789475,2014-08-17,2025-05-25
Stoke City,152,47,41,64,165.0,224.0,-59.0,0.3092105263157895,182,1.0855263157894737,1.4736842105263157,2014-08-16,2018-05-13
Sunderland,115,23,35,57,111.0,184.0,-73.0,0.2,104,0.9652173913043478,1.6,2014-08-16,2025-08-16
Swansea City,152,48,33,71,161.0,227.0,-66.0,0.3157894736842105,177,1.0592105263157894,1.493421052631579,2014-08-16,2018-05-13
Tottenham,419,216,79,124,763.0,510.0,253.0,0.5155131264916468,727,1.8210023866348448,1.2171837708830548,2014-08-16,2025-08-16
Watford,228,62,47,119,246.0,382.0,-136.0,0.2719298245614035,233,1.0789473684210527,1.6754385964912282,2015-08-08,2022-05-22
West Bromwich Albion,190,44,57,89,181.0,282.0,-101.0,0.23157894736842105,189,0.9526315789473684,1.4842105263157894,2014-08-16,2021-05-23
West Ham,419,146,105,168,575.0,639.0,-64.0,0.34844868735083534,543,1.3723150357995226,1.5250596658711217,2014-08-16,2025-08-16
Wolves,267,94,59,114,307.0,377.0,-70.0,0.352059925093633,341,1.149812734082397,1.4119850187265917,2018-08-11,2025-08-16
