match_id,date,home_team,away_team,home_goals_ema_short,home_goals_ema_medium,home_goals_ema_long,home_goals_sma_short,home_goals_sma_medium,home_goals_sma_long,home_goals_momentum,home_goals_current_value,away_goals_ema_short,away_goals_ema_medium,away_goals_ema_long,away_goals_sma_short,away_goals_sma_medium,away_goals_sma_long,away_goals_momentum,away_goals_current_value,goals_ema_advantage,goals_momentum_advantage,home_goals_against_ema_short,home_goals_against_ema_medium,home_goals_against_ema_long,home_goals_against_sma_short,home_goals_against_sma_medium,home_goals_against_sma_long,home_goals_against_momentum,home_goals_against_current_value,away_goals_against_ema_short,away_goals_against_ema_medium,away_goals_against_ema_long,away_goals_against_sma_short,away_goals_against_sma_medium,away_goals_against_sma_long,away_goals_against_momentum,away_goals_against_current_value,goals_against_ema_advantage,goals_against_momentum_advantage,home_points_ema_short,home_points_ema_medium,home_points_ema_long,home_points_sma_short,home_points_sma_medium,home_points_sma_long,home_points_momentum,home_points_current_value,away_points_ema_short,away_points_ema_medium,away_points_ema_long,away_points_sma_short,away_points_sma_medium,away_points_sma_long,away_points_momentum,away_points_current_value,points_ema_advantage,points_momentum_advantage,home_trend_strength,away_trend_strength,home_macd,away_macd,macd_advantage,actual_result,actual_home_goals,actual_away_goals,home_goals_bullish,home_goals_bearish,home_goals_convergence,home_points_bullish,home_points_bearish,home_points_convergence,away_goals_bullish,away_goals_bearish,away_goals_convergence,away_points_bullish,away_points_bearish,away_points_convergence,goals_ema_short_ratio,goals_ema_medium_ratio,goals_ema_long_ratio,points_ema_short_ratio,points_ema_medium_ratio,points_ema_long_ratio,goals_ema_short_log_ratio,points_ema_short_log_ratio,goals_ema_medium_log_ratio,points_ema_medium_log_ratio,goals_ema_long_log_ratio,points_ema_long_log_ratio,goals_ema_short_squared_advantage,points_ema_short_squared_advantage,goals_ema_medium_squared_advantage,points_ema_medium_squared_advantage,goals_ema_long_squared_advantage,points_ema_long_squared_advantage
1,2014-08-16,Arsenal,Crystal Palace,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,0,0,0.0,0.0,0.0,H,2.0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2014-08-16,Leicester,Everton,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,0,0,0.0,0.0,0.0,D,2.0,2.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2014-08-16,Manchester United,Swansea City,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,0,0,0.0,0.0,0.0,A,1.0,2.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2014-08-16,Queens Park Rangers,Hull City,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,0,0,0.0,0.0,0.0,A,0.0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2014-08-16,Stoke City,Aston Villa,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,0,0,0.0,0.0,0.0,A,0.0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2014-08-16,West Bromwich Albion,Sunderland,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,0,0,0.0,0.0,0.0,D,2.0,2.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2014-08-16,West Ham,Tottenham,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,0,0,0.0,0.0,0.0,A,0.0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2014-08-17,Liverpool,Southampton,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,0,0,0.0,0.0,0.0,H,2.0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2014-08-17,Newcastle,Manchester City,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,0,0,0.0,0.0,0.0,A,0.0,2.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2014-08-18,Burnley,Chelsea,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,0,0,0.0,0.0,0.0,A,1.0,3.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.9929078014184396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2014-08-23,Southampton,West Bromwich Albion,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,-1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,0.0,0,0,0.0,0.0,0.0,D,0.0,0.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.4975124378109453,0.4975124378109453,0.4975124378109453,0.0,0.0,0.0,-0.40546510810816444,-0.6931471805599453,-0.40546510810816444,-0.6931471805599453,-0.40546510810816444,-0.6931471805599453,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,2014-08-23,Swansea City,Burnley,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,-2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,H,1.0,0.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.98019801980198,1.98019801980198,1.98019801980198,300.0,300.0,300.0,0.4054651081081644,1.3862943611198906,0.4054651081081644,1.3862943611198906,0.4054651081081644,1.3862943611198906,1.0,9.0,1.0,9.0,1.0,9.0
12,2014-08-23,Aston Villa,Newcastle,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,-2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,D,0.0,0.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,100.0,100.0,100.0,300.0,300.0,300.0,0.6931471805599453,1.3862943611198906,0.6931471805599453,1.3862943611198906,0.6931471805599453,1.3862943611198906,1.0,9.0,1.0,9.0,1.0,9.0
13,2014-08-23,Chelsea,Leicester,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,-1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0,0,0.0,0.0,0.0,H,2.0,0.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.492537313432836,1.492537313432836,1.492537313432836,2.9702970297029703,2.9702970297029703,2.9702970297029703,0.28768207245178085,0.6931471805599453,0.28768207245178085,0.6931471805599453,0.28768207245178085,0.6931471805599453,1.0,4.0,1.0,4.0,1.0,4.0
14,2014-08-23,Crystal Palace,West Ham,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,A,1.0,3.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,100.0,100.0,100.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,1.0,0.0,1.0,0.0,1.0,0.0
