team,rating,matches_played,confidence
Liverpool,1626.4790844079587,419,0.95
Manchester City,1623.2836834219218,419,0.95
Arsenal,1621.3302969030829,419,0.95
Chelsea,1577.2658692519933,419,0.95
Aston Villa,1571.3945272622132,305,0.95
Newcastle,1563.795631084311,381,0.95
Crystal Palace,1555.9336618704572,419,0.95
Brighton,1551.050085814333,305,0.95
Nottingham Forest,1543.9207022927599,115,0.95
Brentford,1524.3681644882056,153,0.95
Everton,1523.4460087607952,419,0.95
Fulham,1520.0929930757843,191,0.95
Bournemouth,1518.0372563480869,305,0.95
Sunderland,1499.749494711643,115,0.95
Queens Park Rangers,1495.173341085841,38,0.95
Hull City,1493.7490408844037,76,0.95
Stoke City,1493.3320691730794,152,0.95
Swansea City,1492.0092477896474,152,0.95
Middlesbrough,1491.417142410045,38,0.95
Cardiff City,1490.3582935102218,38,0.95
West Bromwich Albion,1478.1069214531526,190,0.95
Wolves,1477.616232071107,267,0.95
Huddersfield Town,1477.5688955600713,76,0.95
Leeds United,1473.025747223975,115,0.95
West Ham,1472.1889964163272,419,0.95
Manchester United,1471.1302036865472,419,0.95
Tottenham,1459.9659648292902,419,0.95
Norwich City,1453.9208624337307,114,0.95
Watford,1453.6541995053137,228,0.95
Luton,1434.0815074071477,38,0.95
Burnley,1431.678314318673,305,0.95
Leicester,1410.7793838697653,380,0.95
Sheffield United,1407.2914327473686,114,0.95
Ipswich,1396.4785270264013,38,0.95
Southampton,1364.3690949194056,380,0.95
