feature,rf_importance
goal_difference,0.288893304697404
away_win,0.16818044304681834
home_win,0.14524978266159716
draw,0.13916614283790188
FTHG,0.060740676254833634
FTAG,0.05986326352192167
total_goals,0.036377438360794864
HTAG,0.012013726426141695
HTHG,0.010564015701444416
over_25_goals,0.0076465052318723204
market_avg_prob_home,0.006417397728379995
market_avg_prob_away,0.005958911392518007
pinnacle_home,0.005619424044627993
bet365_prob_away,0.004267993935820677
AST,0.0041150724158087616
home_shot_accuracy,0.003664102180274799
home_xg_simple,0.003558829987772346
away_xg_simple,0.0032177210322061746
bet365_away,0.003127137356192255
market_avg_home,0.0031007053706879166
market_avg_away,0.0029688906136666683
HST,0.0029422285863220875
pinnacle_prob_home,0.002853940172134466
pinnacle_away,0.0026725860062177475
pinnacle_prob_away,0.002620734207862993
bet365_home,0.0025829477932798606
away_shot_accuracy,0.0022724329689859895
market_avg_draw,0.0006685531104274701
ah_home_odds,0.000569939312650902
HS,0.0005451575490172343
under25_avg,0.0004939712242044386
bet365_prob_home,0.00048169435635763737
ah_away_odds,0.000473781816087463
over25_avg,0.00047162199933524463
HC,0.00045343365964990777
AS,0.0004476329638283855
total_fouls,0.00042966627349200486
bet365_prob_draw,0.0004255468610075265
pinnacle_draw,0.00041399447389097664
season,0.0003982891417475142
market_avg_prob_draw,0.0003529261112729492
total_cards,0.0003364401570733296
pinnacle_prob_draw,0.00028926644443653824
AC,0.0002458596364220613
AF,0.00023867463047684694
ABP,0.0002353220191406364
HY,0.00023259923809048046
bet365_draw,0.00023142943383782104
HBP,0.00022735748875734772
ah_line,0.00022002386085823844
AY,0.00016469054390525745
HF,0.00015558521913422392
HR,8.3835209739712e-05
AR,5.635273166925571e-05
HO,0.0
AO,0.0
