match_id,date,home_team,away_team,home_goals_ema_short,home_goals_ema_medium,home_goals_ema_long,home_goals_sma_short,home_goals_sma_medium,home_goals_sma_long,home_goals_momentum,home_goals_current_value,away_goals_ema_short,away_goals_ema_medium,away_goals_ema_long,away_goals_sma_short,away_goals_sma_medium,away_goals_sma_long,away_goals_momentum,away_goals_current_value,goals_ema_advantage,goals_momentum_advantage,home_goals_against_ema_short,home_goals_against_ema_medium,home_goals_against_ema_long,home_goals_against_sma_short,home_goals_against_sma_medium,home_goals_against_sma_long,home_goals_against_momentum,home_goals_against_current_value,away_goals_against_ema_short,away_goals_against_ema_medium,away_goals_against_ema_long,away_goals_against_sma_short,away_goals_against_sma_medium,away_goals_against_sma_long,away_goals_against_momentum,away_goals_against_current_value,goals_against_ema_advantage,goals_against_momentum_advantage,home_points_ema_short,home_points_ema_medium,home_points_ema_long,home_points_sma_short,home_points_sma_medium,home_points_sma_long,home_points_momentum,home_points_current_value,away_points_ema_short,away_points_ema_medium,away_points_ema_long,away_points_sma_short,away_points_sma_medium,away_points_sma_long,away_points_momentum,away_points_current_value,points_ema_advantage,points_momentum_advantage,home_trend_strength,away_trend_strength,home_macd,away_macd,macd_advantage,actual_result,actual_home_goals,actual_away_goals
1,2014-08-16,Arsenal,Crystal Palace,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,0,0,0.0,0.0,0.0,H,2.0,1.0
2,2014-08-16,Leicester,Everton,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,0,0,0.0,0.0,0.0,D,2.0,2.0
3,2014-08-16,Manchester United,Swansea City,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,0,0,0.0,0.0,0.0,A,1.0,2.0
4,2014-08-16,Queens Park Rangers,Hull City,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,0,0,0.0,0.0,0.0,A,0.0,1.0
5,2014-08-16,Stoke City,Aston Villa,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,0,0,0.0,0.0,0.0,A,0.0,1.0
6,2014-08-16,West Bromwich Albion,Sunderland,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,0,0,0.0,0.0,0.0,D,2.0,2.0
7,2014-08-16,West Ham,Tottenham,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,0,0,0.0,0.0,0.0,A,0.0,1.0
9,2014-08-17,Liverpool,Southampton,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,0,0,0.0,0.0,0.0,H,2.0,1.0
8,2014-08-17,Newcastle,Manchester City,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,0,0,0.0,0.0,0.0,A,0.0,2.0
10,2014-08-18,Burnley,Chelsea,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4,0.0,0.0,0,0,0.0,0.0,0.0,A,1.0,3.0
