team,matches_played,avg_xg_for,avg_xg_against,xg_differential
Manchester City,419,3.541,1.585,1.956
Liverpool,419,3.42,1.893,1.527
Chelsea,419,3.052,2.09,0.962
Arsenal,419,2.956,2.222,0.734
Tottenham,419,2.961,2.419,0.542
Manchester United,419,2.857,2.352,0.505
Brighton,305,2.525,2.441,0.084
Southampton,380,2.458,2.573,-0.115
Newcastle,381,2.448,2.638,-0.19
Everton,419,2.392,2.604,-0.213
Leicester,380,2.425,2.64,-0.214
Aston Villa,305,2.405,2.63,-0.225
Wolves,267,2.286,2.564,-0.277
Fulham,191,2.431,2.724,-0.293
Crystal Palace,419,2.302,2.599,-0.297
Bournemouth,305,2.439,2.814,-0.376
Leeds United,115,2.573,2.984,-0.411
West Ham,419,2.396,2.829,-0.433
Watford,228,2.172,2.696,-0.525
Brentford,153,2.404,2.983,-0.579
Nottingham Forest,115,2.206,2.804,-0.598
Stoke City,152,2.177,2.804,-0.627
Queens Park Rangers,38,2.584,3.272,-0.689
Huddersfield Town,76,1.909,2.608,-0.699
Swansea City,152,2.08,2.801,-0.721
Hull City,76,2.102,2.903,-0.801
West Bromwich Albion,190,1.94,2.829,-0.889
Cardiff City,38,2.09,3.136,-1.045
Burnley,305,2.041,3.099,-1.058
Norwich City,114,2.021,3.08,-1.059
Middlesbrough,38,1.724,2.792,-1.068
Sheffield United,114,1.842,3.025,-1.182
Luton,38,2.268,3.465,-1.196
Sunderland,115,2.102,3.299,-1.197
Ipswich,38,1.96,3.244,-1.284
